video_id,channel_id,title,published_at,duration_s,view,like,comment,tags
oK5LxMaROSA,UCNJ1Ymd5yFuUPtn21xtRbbw,OpenAI Tests if GPT-5 Can Automate Your Job - 4 Unexpected Findings,2025-09-26T15:03:36Z,847,60423,2473,437,
H4Qog494fl4,UCNJ1Ymd5yFuUPtn21xtRbbw,"ChatGPT Can Now Call the Cops, but 'Wait till 2100 for Full Job Impact' - Altman",2025-09-16T17:13:26Z,692,47453,1974,340,
tCvsYMEk9ts,UCNJ1Ymd5yFuUPtn21xtRbbw,"An ‘AI Bubble’? What Altman Actually said, the Facts and Nano Banana",2025-08-26T18:43:40Z,1135,56308,3454,804,
WLdBimUS1IE,UCNJ1Ymd5yFuUPtn21xtRbbw,GPT-5 has Arrived,2025-08-07T23:03:34Z,902,162139,5895,963,
tVHZy-iml5Q,UCNJ1Ymd5yFuUPtn21xtRbbw,Genie 3: The World Becomes Playable (DeepMind),2025-08-05T16:37:28Z,715,191356,6332,968,
g9ZJ8GMBlw4,UCNJ1Ymd5yFuUPtn21xtRbbw,"How Not to Read a Headline on AI (ft. new Olympiad Gold, GPT-5 …)",2025-07-21T15:15:42Z,1040,84217,3137,342,
dbgL00a7_xs,UCNJ1Ymd5yFuUPtn21xtRbbw,Grok 4 - 10 New Things to Know,2025-07-10T14:11:01Z,704,175742,4949,806,
eczw9k3r6Ic,UCNJ1Ymd5yFuUPtn21xtRbbw,"When Will AI Models Blackmail You, and Why?",2025-06-24T15:01:11Z,1580,107685,3974,941,
wPBD6wTap7g,UCNJ1Ymd5yFuUPtn21xtRbbw,"Apple’s ‘AI Can’t Reason’ Claim Seen By 13M+, What You Need to Know",2025-06-12T17:04:09Z,841,100818,3936,779,
jWsd2fRzpUo,UCNJ1Ymd5yFuUPtn21xtRbbw,AI Accelerates: New Gemini Model + AI Unemployment Stories Analysed,2025-06-06T16:02:44Z,1010,96176,3513,552,
Xn_5aIhrJOE,UCNJ1Ymd5yFuUPtn21xtRbbw,Claude 4: Full 120 Page Breakdown … Is it the Best New Model?,2025-05-22T22:14:47Z,1145,98611,4378,479,
F4Y-bCZNQcA,UCNJ1Ymd5yFuUPtn21xtRbbw,Google Takes No Prisoners Amid Torrent of AI Announcements,2025-05-21T18:35:57Z,1028,99512,4034,559,
RH4hAgvYSzg,UCNJ1Ymd5yFuUPtn21xtRbbw,AI Improves at Self-improving,2025-05-19T12:58:30Z,1062,82261,3553,324,
Lo0FDmSbTp4,UCNJ1Ymd5yFuUPtn21xtRbbw,"""OpenAI is Not God” - The DeepSeek Documentary on Liang Wenfeng, R1 and What's Next",2025-04-27T14:27:10Z,2064,104401,4933,573,
rArxtyb-Mio,UCNJ1Ymd5yFuUPtn21xtRbbw,"o3 breaks (some) records, but AI becomes pay-to-win",2025-04-25T19:18:15Z,874,60756,2555,314,
3aRRYQEb99s,UCNJ1Ymd5yFuUPtn21xtRbbw,"o3 and o4-mini - they’re great, but easy to over-hype",2025-04-16T20:23:58Z,865,94096,3595,407,
yPxavsb2rgk,UCNJ1Ymd5yFuUPtn21xtRbbw,"‘Speaking Dolphin’ to AI Data Dominance, 4.1 + Kling 2.0: 7 Updates Critically Analysed",2025-04-16T15:11:53Z,1210,60185,2262,217,
wOBqh9JqCDY,UCNJ1Ymd5yFuUPtn21xtRbbw,"AI CEO: ‘Stock Crash Could Stop AI Progress’, Llama 4 Anti-climax + ‘Superintelligence in 2027’ ...",2025-04-07T16:42:14Z,1432,72677,3053,447,
kTslCsPBGHw,UCNJ1Ymd5yFuUPtn21xtRbbw,Gemini 2.5 Pro - It’s a Darn Smart Chatbot … (New Simple High Score),2025-03-28T20:37:16Z,1282,109827,3907,426,
Y9mVlNwj_ic,UCNJ1Ymd5yFuUPtn21xtRbbw,"Did AI Just Get Commoditized? Gemini 2.5, New DeepSeek V3, & Microsoft vs OpenAI",2025-03-25T23:15:23Z,828,136144,4982,432,
7AsFAqZdBPU,UCNJ1Ymd5yFuUPtn21xtRbbw,"OpenAI’s New ImageGen is Unexpectedly Epic … (ft. Reve, Imagen 3, Midjourney etc)",2025-03-25T20:39:25Z,676,94094,3695,334,
N8dZ6ADCPyc,UCNJ1Ymd5yFuUPtn21xtRbbw,Manus AI - The Calm Before the Hypestorm … (vs Deep Research + Grok 3),2025-03-13T15:16:45Z,779,117714,4547,414,
boXl0CqRIWQ,UCNJ1Ymd5yFuUPtn21xtRbbw,GPT 4.5 - not so much wow,2025-02-28T16:22:03Z,1506,110479,4325,738,
IziXJt5iUHo,UCNJ1Ymd5yFuUPtn21xtRbbw,Claude 3.7 is More Significant than its Name Implies (ft DeepSeek R2 + GPT 4.5 coming soon),2025-02-25T17:37:53Z,1660,135785,5365,660,
